episode,timestep,reward
151000,7550000,-211.8885
151200,7560000,-211.8887
151400,7570000,-211.8896
151600,7580000,-211.8898
151800,7590000,-211.8859
152000,7600000,-211.8802
152200,7610000,-211.8851
152400,7620000,-211.8932
152600,7630000,-211.9004
152800,7640000,-211.9067
153000,7650000,-211.9112
153200,7660000,-211.9074
153400,7670000,-211.9077
153600,7680000,-211.9118
153800,7690000,-211.9241
154000,7700000,-211.9293
154200,7710000,-211.9314
154400,7720000,-211.9363
154600,7730000,-211.9392
154800,7740000,-211.935
155000,7750000,-211.9355
155200,7760000,-211.9393
155400,7770000,-211.938
155600,7780000,-211.9361
155800,7790000,-211.934
156000,7800000,-211.9373
156200,7810000,-211.9379
156400,7820000,-211.9334
156600,7830000,-211.9339
156800,7840000,-211.9285
157000,7850000,-211.9343
157200,7860000,-211.9351
157400,7870000,-211.9421
157600,7880000,-211.9508
157800,7890000,-211.9569
158000,7900000,-211.9639
158200,7910000,-211.9688
158400,7920000,-211.9751
158600,7930000,-211.9823
158800,7940000,-211.9845
159000,7950000,-211.9832
159200,7960000,-211.9869
159400,7970000,-211.9821
159600,7980000,-211.986
159800,7990000,-211.9856
160000,8000000,-211.9902
160200,8010000,-211.996
160400,8020000,-211.9929
160600,8030000,-211.9967
160800,8040000,-211.9985
161000,8050000,-212.0073
161200,8060000,-212.0072
161400,8070000,-212.0076
161600,8080000,-212.0066
161800,8090000,-212.0086
162000,8100000,-212.0161
162200,8110000,-212.0196
162400,8120000,-212.0198
162600,8130000,-212.0162
162800,8140000,-212.024
163000,8150000,-212.0294
163200,8160000,-212.0366
163400,8170000,-212.0413
163600,8180000,-212.0494
163800,8190000,-212.0494
164000,8200000,-212.0488
164200,8210000,-212.0606
164400,8220000,-212.0675
164600,8230000,-212.0711
164800,8240000,-212.0746
165000,8250000,-212.0738
165200,8260000,-212.0725
165400,8270000,-212.0753
165600,8280000,-212.0813
165800,8290000,-212.0842
166000,8300000,-212.0889
166200,8310000,-212.0874
166400,8320000,-212.0886
166600,8330000,-212.093
166800,8340000,-212.0861
167000,8350000,-212.0928
167200,8360000,-212.0956
167400,8370000,-212.102
167600,8380000,-212.1056
167800,8390000,-212.108
168000,8400000,-212.1042
168200,8410000,-212.1069
168400,8420000,-212.1123
168600,8430000,-212.1129
168800,8440000,-212.1139
169000,8450000,-212.1138
169200,8460000,-212.1244
169400,8470000,-212.129
169600,8480000,-212.1279
169800,8490000,-212.1292
170000,8500000,-212.1361
170200,8510000,-212.1427
170400,8520000,-212.1491
170600,8530000,-212.1498
170800,8540000,-212.1604
171000,8550000,-212.164
171200,8560000,-212.1694
171400,8570000,-212.1737
171600,8580000,-212.1784
171800,8590000,-212.1824
172000,8600000,-212.1924
172200,8610000,-212.1949
172400,8620000,-212.1999
172600,8630000,-212.2076
172800,8640000,-212.2091
173000,8650000,-212.2121
173200,8660000,-212.2145
173400,8670000,-212.2205
173600,8680000,-212.22
173800,8690000,-212.2227
174000,8700000,-212.2227
174200,8710000,-212.2242
174400,8720000,-212.2328
174600,8730000,-212.2404
174800,8740000,-212.24
175000,8750000,-212.2404
175200,8760000,-212.2446
175400,8770000,-212.245
175600,8780000,-212.2473
175800,8790000,-212.2532
176000,8800000,-212.2544
176200,8810000,-212.255
176400,8820000,-212.2631
176600,8830000,-212.2708
176800,8840000,-212.2688
177000,8850000,-212.2658
177200,8860000,-212.2696
177400,8870000,-212.2738
177600,8880000,-212.2717
177800,8890000,-212.281
178000,8900000,-212.2809
178200,8910000,-212.2849
178400,8920000,-212.2939
178600,8930000,-212.2932
178800,8940000,-212.2954
179000,8950000,-212.2961
179200,8960000,-212.3001
179400,8970000,-212.302
179600,8980000,-212.304
179800,8990000,-212.3088
180000,9000000,-212.3163
180200,9010000,-212.3211
180400,9020000,-212.3242
180600,9030000,-212.3275
180800,9040000,-212.3354
181000,9050000,-212.3435
181200,9060000,-212.3463
181400,9070000,-212.3492
181600,9080000,-212.3535
181800,9090000,-212.3652
182000,9100000,-212.3612
182200,9110000,-212.3646
182400,9120000,-212.3687
182600,9130000,-212.3658
182800,9140000,-212.3696
183000,9150000,-212.3724
183200,9160000,-212.3791
183400,9170000,-212.3853
183600,9180000,-212.3827
183800,9190000,-212.3831
184000,9200000,-212.3863
184200,9210000,-212.3842
184400,9220000,-212.3825
184600,9230000,-212.3852
184800,9240000,-212.385
185000,9250000,-212.3886
185200,9260000,-212.3975
185400,9270000,-212.3998
185600,9280000,-212.4001
185800,9290000,-212.4024
186000,9300000,-212.4065
186200,9310000,-212.4091
186400,9320000,-212.4156
186600,9330000,-212.4193
186800,9340000,-212.4169
187000,9350000,-212.4257
187200,9360000,-212.4318
187400,9370000,-212.4369
187600,9380000,-212.4347
187800,9390000,-212.4373
188000,9400000,-212.4375
188200,9410000,-212.444
188400,9420000,-212.4526
188600,9430000,-212.4524
188800,9440000,-212.4596
189000,9450000,-212.4645
189200,9460000,-212.4698
189400,9470000,-212.4638
189600,9480000,-212.4662
189800,9490000,-212.4687
190000,9500000,-212.4769
190200,9510000,-212.4745
190400,9520000,-212.4808
190600,9530000,-212.4816
190800,9540000,-212.4809
191000,9550000,-212.4821
191200,9560000,-212.4814
191400,9570000,-212.4842
191600,9580000,-212.4924
191800,9590000,-212.4928
192000,9600000,-212.4983
192200,9610000,-212.501
192400,9620000,-212.5111
192600,9630000,-212.5094
192800,9640000,-212.5159
193000,9650000,-212.5179
193200,9660000,-212.5227
193400,9670000,-212.5261
193600,9680000,-212.532
193800,9690000,-212.5353
194000,9700000,-212.5401
194200,9710000,-212.5446
194400,9720000,-212.5509
194600,9730000,-212.5572
194800,9740000,-212.5607
