episode,timestep,reward
1525,76300,-249.9999
1527,76400,-250.0
1529,76500,-246.6405
1531,76600,-250.0
1533,76700,-249.9688
1535,76800,-248.3266
1537,76900,-249.3806
1539,77000,-249.9958
1541,77100,-249.9999
1543,77200,-250.0
1545,77300,-249.9885
1547,77400,-249.9688
1549,77500,-249.3457
1551,77600,-250.0
1553,77700,-250.0
1555,77800,-248.3199
1557,77900,-250.0
1559,78000,-249.3485
1561,78100,-249.9887
1563,78200,-249.9887
1565,78300,-237.6519
1567,78400,-249.9579
1569,78500,-248.1975
1571,78600,-249.9045
1573,78700,-249.9992
1575,78800,-248.2147
1577,78900,-249.9887
1579,79000,-249.267
1581,79100,-249.7688
1583,79200,-250.0
1585,79300,-249.9678
1587,79400,-248.2164
1589,79500,-249.9985
1591,79600,-249.9994
1593,79700,-249.9997
1595,79800,-249.9953
1597,79900,-249.9943
1599,80000,-249.9694
1601,80100,-249.9693
1603,80200,-249.9167
1605,80300,-249.381
1607,80400,-249.7735
1609,80500,-249.9693
1611,80600,-249.9992
1613,80700,-249.7734
1615,80800,-249.9846
1617,80900,-249.9999
1619,81000,-249.9692
1621,81100,-249.1582
1623,81200,-249.7737
1625,81300,-249.7738
1627,81400,-248.327
1629,81500,-249.9694
1631,81600,-249.772
1633,81700,-250.0
1635,81800,-249.9678
1637,81900,-249.9694
1639,82000,-249.9652
1641,82100,-249.9581
1643,82200,-249.9994
1645,82300,-249.7731
1647,82400,-249.9985
1649,82500,-231.9587
1651,82600,-249.7732
1653,82700,-249.9688
1655,82800,-250.0
1657,82900,-249.9994
1659,83000,-249.9054
1661,83100,-249.3802
1663,83200,-249.9692
1665,83300,-249.9997
1667,83400,-249.9994
1669,83500,-249.9994
1671,83600,-249.9167
1673,83700,-249.9943
1675,83800,-248.0973
1677,83900,-249.9958
1679,84000,-250.0
1681,84100,-249.7734
1683,84200,-248.3198
1685,84300,-249.9983
1687,84400,-248.3233
1689,84500,-248.3229
1691,84600,-249.9959
1693,84700,-248.3226
1695,84800,-249.9985
1697,84900,-249.3838
1699,85000,-250.0
1701,85100,-249.3842
1703,85200,-250.0
1705,85300,-249.9887
1707,85400,-249.9887
1709,85500,-249.9917
1711,85600,-250.0
1713,85700,-248.3243
1715,85800,-249.9998
1717,85900,-249.5468
1719,86000,-249.9953
1721,86100,-249.9167
1723,86200,-249.7733
1725,86300,-249.7622
1727,86400,-249.9693
1729,86500,-249.9958
1731,86600,-248.2407
1733,86700,-250.0
1735,86800,-249.9959
1737,86900,-250.0
1739,87000,-249.9959
1741,87100,-249.353
1743,87200,-249.9693
1745,87300,-248.3095
1747,87400,-249.9994
1749,87500,-249.9693
1751,87600,-249.9994
1753,87700,-249.2999
1755,87800,-249.7427
1757,87900,-249.9997
1759,88000,-249.9989
1761,88100,-249.9998
1763,88200,-249.3521
1765,88300,-249.9943
1767,88400,-249.7426
1769,88500,-249.1562
1771,88600,-249.7725
1773,88700,-250.0
1775,88800,-246.6261
1777,88900,-249.3672
1779,89000,-249.9887
1781,89100,-249.9652
1783,89200,-249.9581
1785,89300,-249.9887
1787,89400,-249.9994
1789,89500,-249.9678
1791,89600,-249.7731
1793,89700,-249.7733
1795,89800,-249.3829
1797,89900,-249.9887
1799,90000,-250.0
1801,90100,-249.9959
1803,90200,-250.0
1805,90300,-248.3157
1807,90400,-250.0
1809,90500,-249.886
1811,90600,-249.9985
1813,90700,-248.2676
1815,90800,-249.9959
1817,90900,-249.8333
1819,91000,-250.0
1821,91100,-249.9775
1823,91200,-249.9652
1825,91300,-238.826
1827,91400,-249.9161
1829,91500,-249.9694
1831,91600,-249.3825
1833,91700,-249.9125
1835,91800,-248.2691
1837,91900,-249.9166
1839,92000,-249.9998
1841,92100,-249.9887
